station,rain,x,y
Qushtapa,350,44.0319,36.0039
Ainkwawa,414,44.0119,36.2206
Khabat,339,43.67039,36.2758
Bnaslawa,381,44.1124,36.15444
Shorsh,566,44.386,36.1786
Shaqlawa,810,44.3214,36.4056
Harir,591,44.355,36.5475
Khalifan,768,44.4006,36.6039
Soran,701,44.5428,36.6581
Rwandz,736,44.5339,36.6169
Choman,796,44.8808,36.6278
Sidakan,824,44.6711,36.7983
Mergasor,1384,44.3008,36.84
Makhmwr,257,43.57887,35.77511
Bastora,457,44.16148,36.33709
Dibaga,299,43.808,35.8747
Gwer,269,43.499,36.048
Barzewa,700,44.611,36.626
Koya,622,44.617,36.083
